SPY,EFA,EEM,TLT,LQD
85.69857,32.53904,16.983597,52.92342,56.180939
84.4244,32.462582,16.921429,52.690464,56.130817
85.029457,32.478672,16.999531,52.865154,56.211102
85.591789,32.52898,17.263344,52.74868,56.100708
86.438934,32.907299,17.58136,53.004974,56.201065
85.8694,32.83083,17.551865,52.434124,55.885025
86.296532,33.011948,17.601282,52.417767,55.874493
86.253792,32.764423,17.311165,52.347641,55.894581
86.289406,32.780518,17.358992,52.318455,55.889595
87.364281,33.354027,17.566216,52.885231,56.070786
87.406982,33.213165,17.68178,53.095577,56.23196
87.079536,33.303722,17.547083,52.593056,55.980175
86.11145,33.152802,17.446663,51.734146,55.44648
86.303635,33.261459,17.279287,52.049702,55.522015
85.69857,33.253418,17.182049,51.669865,55.426327
86.232475,33.146767,17.050543,51.979561,55.421307
85.520607,32.941509,16.625734,51.652325,55.194748
84.794533,32.979733,16.484661,51.967884,55.386082
84.96537,32.941509,16.785139,52.13731,55.260181
84.713081,32.875099,16.709419,51.810101,55.094009
84.398666,32.651733,16.467926,51.664028,55.028568
83.541092,32.277439,16.163471,51.225811,54.555248
83.612549,32.062126,15.958633,51.471226,54.716415
83.712608,32.056084,15.941097,51.576366,54.832218
83.834106,32.056084,16.051085,51.260845,54.751644
83.276703,31.724058,15.635839,51.564671,54.847271
84.455833,31.983644,15.992106,51.8218,54.98827
84.298599,31.969564,16.163471,52.19577,55.179665
83.919876,31.895109,16.259108,52.371693,55.230164
84.062798,31.90517,16.294973,52.359966,54.891457
84.462967,32.076206,16.290989,52.225105,55.058285
84.755997,32.166775,16.514153,52.406834,55.027954
85.213348,32.297569,16.680729,51.984596,54.749912
84.327202,32.297569,16.60182,52.166401,54.926826
84.391533,32.418297,16.442425,52.447941,55.078495
84.827446,32.498791,16.649645,52.934734,55.300919
83.826942,32.1567,16.318092,52.805702,55.432381
82.733551,31.734121,15.900449,52.72356,55.230164
81.575836,31.345737,15.565704,53.421482,55.482964
81.825966,31.231035,15.749819,53.380409,55.493057
82.47628,31.64558,16.013617,53.896526,55.725616
81.325745,31.24111,15.635839,53.76162,55.755913
82.905075,31.806564,16.086153,53.198616,55.462715
82.590637,31.693871,15.908422,53.644371,55.725616
83.133759,31.860895,16.209694,53.802677,55.862099
82.326233,31.46246,16.043911,53.720577,55.77108
82.64782,31.377945,15.898855,53.908215,56.044079
81.611588,30.955355,15.645405,54.307053,56.276646
82.719269,31.452396,15.961824,54.21323,56.074421
83.183792,31.442329,16.06782,54.201412,56.093708
83.326706,31.51075,16.052683,54.348591,56.124168
83.969879,31.88505,16.490242,53.871845,55.997288
83.941299,31.93133,16.57711,53.995438,56.078472
83.676865,31.79248,16.62175,53.595207,55.773987
84.198563,31.864927,16.636898,53.648159,55.581127
